word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
storm,storm,/stɒ:m/,vt./vi./n.,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻；vi. 起风, 猛冲, 怒吼；vt. 猛攻",A2,,,,
union,union,/'ju:njәn/,n.,"n. 联盟, 联合, 结合, 工会",B1,,,,
desk,desk,/desk/,n.,"n. 书桌, 办公桌, 工作台",A1,,,,
thanks,thank,,n.,"n. 感谢, 谢意, 谢忱；interj. 谢谢, 谢谢你",A1,,,,
fruit,fruit,/fru:t/,n.,"n. 水果, 果类, 结果",A1,,,,
expensive,expensive,/ik'spensiv/,,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的",A1,,,,
yellow,yellow,/'jelәu/,n.,n. 黄色；a. 黄色的,A1,,,,
conclusion,conclusion,/kәn'klu:ʒәn/,n.,"n. 结论, 结尾, 推论",B1,,,,
prime,prime,/praim/,v./n.,"n. 最佳部分, 初期, 全盛期；a. 主要的, 最初的, 根本的；v. 加油启动, 灌注, 填装",B2,,,,
shadow,shadow,/'ʃædәu/,vt./vi./n.,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护；vt. 遮蔽, 使朦胧, 预示, 尾随；vi. 渐变, 变阴暗",B2,,,,
struggle,struggle,/'strʌgl/,vi./n.,"n. 斗争, 努力, 奋斗；vi. 努力, 奋斗, 挣扎",B2,,,,
conclude,conclude,/kәn'klu:d/,vt./vi.,"vt. 结束, 作结论, 推断；vi. 结束, 推断",B1,,,,
dance,dance,/dæns. dɑ:ns/,v./n.,"n. 跳舞, 舞蹈, 舞会；v. 跳舞",A1,,,,
analyst,analyst,/'ænәlist/,n.,"n. 分析者, 精神分析学家",B2,,,,
regulation,regulation,/.regju'leiʃәn/,n.,"n. 规则, 管理, 调整",B2,,,,
being,be,/'bi:iŋ/,n.,"n. 存在, 性质, 生命, 人, 生物, be的现在分词",B2,,,,
ring,ring,/riŋ/,vt./vi./n.,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调；vt. 包围, 套住, 按铃, 敲钟；vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响",A2,,,,
largely,largely,/'lɑ:dʒli/,adv.,"adv. 大量地, 很多地, 大半地",B2,,,,
shift,shift,/ʃift/,vt./vi./n.,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位；vt. 替换, 转移, 改变, 推卸, 变速；vi. 转换, 移动, 转变, 推托, 变速",B1,,,,
revenue,revenue,/'revinju:/,n.,"n. 收入, 岁入, 税收, 税务局",B2,,,,
locate,locate,/'lәukeit/,vt./vi.,"vt. 找出, 设于, 位于；vi. 定居",B1,,,,
mark,mark,/mɑ:k/,vt./vi./n.,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线；vt. 做标记于, 留意, 打分数, 表明, 标志, 记录；vi. 作记号, 记得分",A2,,,,
appearance,appearance,/ә'piәrәns/,n.,"n. 出现, 露面, 外观, 外表, 出版",A2,,,,
package,package,/'pækidʒ/,vt./n.,"n. 包裹, 套装软件, 包, 包装用物, 程序包；vt. 包装, 打包；a. 一揽子的",B1,,,,
difficulty,difficulty,/'difikәlti/,n.,"n. 困难, 难点",B1,,,,
bridge,bridge,/bridʒ/,vt./n.,"n. 桥, 舰桥, 桥梁, 桥牌；vt. 架桥于, 跨越",A2,,,,
recommend,recommend,/.rekә'mend/,vt.,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付",A2,,,,
obvious,obvious,/'ɒbviәs/,,"a. 明显的, 明白的, 显然的, 平淡无奇的",B1,,,,
basically,basically,/'beisikli/,adv.,"adv. 基本上, 主要地",B2,,,,
generate,generate,/'dʒenәreit/,vt.,"vt. 产生, 发生, 导致",B2,,,,
anymore,anymore,/'eni'mɔ:/,adv.,"adv. 再也不, 不再",A2,,,,
propose,propose,/prә'pәuz/,vt./vi.,"vt. 计划, 打算, 建议, 提议, 求(婚)；vi. 打算, 求婚",B2,,,,
thinking,think,/'θiŋkiŋ/,n.,"n. 思考, 思想；a. 思考的, 有理性的",A2,,,,
possibly,possibly,/'pɒsәbli/,adv.,"adv. 可能, 也许",B1,,,,
trend,trend,/trend/,vi./n.,"n. 趋势, 倾向, 走向；vi. 倾向, 转向",B1,,,,
visitor,visitor,/'vizitә/,n.,"n. 参观者, 游客, 访客",A1,,,,
loan,loan,/lәun/,v./n.,"n. 贷款, 借出；v. 借, 供应货款, 借给",B2,,,,
currently,currently,/'kʌrәntli/,adv.,"adv. 现在, 当前, 一般, 普通",B1,,,,
comfortable,comfortable,/'kʌmfәtәbl/,n.,"a. 舒服的, 轻松的；n. 盖被",A2,,,,
investor,investor,/in'vestә/,n.,n. 投资者,B2,,,,
profit,profit,/'prɒfit/,vt./vi./n.,"n. 利润, 赢利, 利益；vi. 有益, 获利, 赚钱；vt. 有益于",B1,,,,
angry,angry,/'æŋgri/,,"a. 生气的, 愤怒的",A1,,,,
crew,crew,/kru:/,n.,"n. 全体人员, 一群人, 全体队员；crow的过去式",B2,,,,
accident,accident,/'æksidәnt/,n.,"n. 意外事件, 机遇, 事故, 次要方面",A2,,,,
meal,meal,/mi:l/,vi./n.,"n. 一餐, 膳食, 粗粉；vi. 进餐",A1,,,,
hearing,hear,/'hiәriŋ/,n.,"n. 听, 听觉, 听讯",B2,,,,
traffic,traffic,/'træfik/,vt./vi./n.,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量；vi. 交易, 做买卖；vt. 用...作交换",A1,,,,
muscle,muscle,/'mʌsl/,n.,"n. 肌肉, 臂力",B1,,,,
notion,notion,/'nәuʃәn/,n.,"n. 概念, 观念, 想法, 打算, 别致的小东西",B2,,,,
capture,capture,/'kæptʃә/,vt./n.,"n. 抓取, 战利品, 捕获之物；vt. 抓取, 获得, 迷住",B2,,,,
prefer,prefer,/pri'fә:/,vt.,"vt. 宁可, 较喜欢, 提出",A1,,,,
chest,chest,/tʃest/,n.,"n. 胸, 胸部, 衣柜, 箱子",B1,,,,
japanese,japanese,/.dʒæpә'ni:z/,n.,"n. 日本人, 日语；a. 日本的, 日语的",Beyond C1,,,,
truly,truly,/'tru:li/,adv.,"adv. 真实地, 不假",B2,,,,
thick,thick,/θik/,n./adv.,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的；adv. 厚地, 密地, 浓浓地；n. 最浓处, 最厚处, 最密集处",A2,,,,
cash,cash,/kæʃ/,vt./n.,n. 现金；vt. 兑现,A2,,,,
museum,museum,/mju:'ziәm/,n.,n. 博物馆,A1,,,,
beauty,beauty,/'bju:ti/,n.,"n. 美, 美人",B1,,,,
emergency,emergency,/i'mә:dʒәnsi/,n.,"n. 紧急状况, 紧急事件, 紧急需要",B1,,,,
unique,unique,/ju:'ni:k/,,"a. 独一无二的, 独特的, 稀罕的",B2,,,,
internal,internal,/in'tә:nәl/,,"a. 内在的, 国内的",B2,,,,
ethnic,ethnic,/'eθnik/,,"a. 人种的, 种族的",B2,,,,
link,link,/liŋk/,vt./vi./n.,"n. 环, 连结物, 链接, 火把；vt. 连结, 联合, 挽住；vi. 连接起来",A2,,,,
stress,stress,/stres/,vt./n.,"n. 压力, 紧迫, 强调, 重音, 重点, 应力；vt. 加压力于, 着重, 重读",A2,,,,
content,content,/kәn'tent/,vt./n.,"n. 内容, 满足, 意义, 要旨；a. 满足的, 满意的；vt. 使...满足, 使...安心",B1,,,,
select,select,/si'lekt/,v./n.,"a. 挑选出来的, 极好的；v. 选择, 挑选；n. 被挑选者, 精萃",B2,,,,
root,root,/ru:t/,vt./vi./n.,"n. 根, 根本, 根源, 基础, 底部；vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱；vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持",B2,,,,
nose,nose,/nәuz/,vt./vi./n.,"n. 鼻子, 突出部分, 嗅觉；vt. 嗅到, 探出, 用鼻子触；vi. 闻, 嗅, 探听, 告密",A1,,,,
declare,declare,/di'klєә/,v.,"v. 宣布, 声明, 申报, 断言",B2,,,,
appreciate,appreciate,/ә'pri:ʃieit/,vt./vi.,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏；vi. 增值, 涨价",B1,,,,
actual,actual,/'æktʃuәl/,,"a. 真实的, 实际的, 现行的",B2,,,,
bottle,bottle,/'bɒtl/,vt./n.,"n. 瓶子, 酒瓶；vt. 装瓶, 抑制, 围困",A1,,,,
hardly,hardly,/'hɑ:dli/,adv.,"adv. 刚刚, 几乎不, 勉强是",B1,,,,
setting,set,/'setiŋ/,n.,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具",B1,,,,
launch,launch,/lɒ:ntʃ/,vt./vi./n.,"n. 下水, 汽艇, 发射；vt. 使下水, 发射, 发动；vi. 起飞, 下水, 投入, 开始",B2,,,,
file,file,/fail/,vt./vi./n.,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀；vi. 列队行进, 用锉刀做；vt. 归档, 申请, 锉, 琢磨",B1,,,,
sick,sick,/sik/,vt./n.,"n. 病人；a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的；vt. 呕吐, 追击, 使(狗)去攻击",A1,,,,
outcome,outcome,/'autkʌm/,n.,"n. 结果, 出口",B2,,,,
ad,ad,/æd/,n.,n. 广告,B1,,,,
defend,defend,/di'fend/,vt.,"vt. 防护, 辩护, 防卫",B2,,,,
duty,duty,/'dju:ti/,n.,"n. 责任, 关税, 职务, 尊敬",B1,,,,
sheet,sheet,/ʃi:t/,vt./vi./n.,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片；vt. 盖上被单, 遍布；vi. 大片落下；a. 片状的, 成薄片的",A2,,,,
ensure,ensure,/in'ʃuә/,vt.,"vt. 确定, 保证, 担保, 保护",B2,,,,
ought,ought,/ɒ:t/,n.,"aux. 应该, 大概；n. 责任",B1,,,,
extremely,extremely,/ik'stri:mli/,adv.,"adv. 极端地, 非常地",A2,,,,
catholic,catholic,/'kæθәlik/,n.,"n. 天主教徒；a. 天主教的, 普遍的, 广泛的, 宽宏大量的",Beyond C1,,,,
extent,extent,/ik'stent/,n.,"n. 范围, 程度, 区域",B2,,,,
mix,mix,/miks/,vt./vi./n.,"n. 混合物, 混乱, 糊涂；vt. 使混合, 弄混, 使结合, 混淆；vi. 相混合, 交往, 参与",B1,,,,
component,component,/kәm'pәunәnt/,n.,"n. 元件, 组件, 成分；a. 组成的, 构成的",B2,,,,
slow,slow,/slәu/,v./adv.,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的；adv. 慢地, 迟缓地；v. (使)慢下来",A1,,,,
contrast,contrast,/kәn'træst/,vt./vi./n.,"n. 差别, 对比, 对照物；vt. 使对比；vi. 成对照",B1,,,,
zone,zone,/zәun/,vt./vi./n.,"n. 地带, 带, 地区；vt. 环绕, 使分成地带；vi. 分成区",B2,,,,
wake,wake,/weik/,vt./vi./n.,"vt. 叫醒, 激发；vi. 醒来, 醒着, 觉醒, 活跃起来；n. 守侯, 守夜, 尾迹, 痕迹",A1,,,,
airport,airport,/'єәpɒ:t/,n.,n. 飞机场,A1,,,,
ourselves,ourselves,/.auә'selvz/,pron.,pron. 我们自己,A2,,,,
brown,brown,/braun/,v./n.,n. 褐色；a. 褐色的；v. (使)变褐色,A1,,,,
shirt,shirt,/ʃә:t/,n.,"n. 衬衫, 内衣, 汗衫",A1,,,,
pilot,pilot,/'pailәt/,vt./n.,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人；vt. 领航, 驾驶, 引导, 试用；a. 引导的, 控制的, 试点的",A2,,,,
warn,warn,/wɒ:n/,vt./vi.,"vt. 警告, 提醒, 通知；vi. 发出警告",B1,,,,
ultimately,ultimately,/'ʌltimәtli/,adv.,"adv. 最后, 最终",B2,,,,
cat,cat,/kæt/,vi./n.,"n. 猫, 恶妇；vi. 呕吐；计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版",A1,,,,
contribution,contribution,/.kɒntri'bju:ʃәn/,n.,"n. 捐助, 捐助之物, 贡献",B2,,,,
capacity,capacity,/kә'pæsiti/,n.,"n. 容量, 能力, 才能, 资格",B2,,,,
estate,estate,/i'steit/,n.,"n. 不动产, (人生的)阶段, 阶层, 财产",B2,,,,
guide,guide,/gaid/,vt./vi./n.,"n. 引导者, 导游, 指南, 路标；vt. 指导, 支配, 管理, 带领, 操纵；vi. 任向导",A2,,,,
circumstance,circumstance,/'sә:kәmstәns/,n.,"n. 环境, 状况, 事件",B2,,,,
snow,snow,/snәu/,vt./vi./n.,"n. 雪, 积雪, 下雪, 雪花形干扰；vi. 下雪, 似雪般落下；vt. 使雪白, 用雪覆盖, 使像雪般落下",A1,,,,
english,english,/'iŋgliʃ/,n.,"n. 英语；a. 英文的, 英国人的",Beyond C1,,,,
politician,politician,/.pɒli'tiʃәn/,n.,"n. 政客, 政治家, 从事党派政治的人",B1,,,,
steal,steal,/sti:l/,vt./vi./n.,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球,A2,,,,
pursue,pursue,/pә'sju:/,vt./vi.,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事；vi. 追赶, 继续",B2,,,,
slip,slip,/slip/,vt./vi./n.,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人；vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏；vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝；a. 滑动的, 滑移的, 活络的, 有活结的",B2,,,,
percentage,percentage,/pә'sentidʒ/,n.,"n. 百分比, 比率, 部分, 可能性",B1,,,,
meat,meat,/mi:t/,n.,"n. 肉, 餐, 食物",A1,,,,
funny,funny,/'fʌni/,n.,"a. 好笑的, 有趣的, 滑稽的；n. 滑稽人物",A1,,,,
neither,neither,/'naiðә/,adv./conj./pron.,"adv. 皆不, 两个都不；a. (两者)都不的；pron. 两者都不；conj. 既非, 既不",A2,,,,
soil,soil,/sɒil/,vt./vi./n.,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池；vt. 弄脏, 污辱；vi. 变脏",B1,,,,
aids,aid,/eidz/,n.,"n. 爱滋病(获得性免疫缺陷综合征)；美国决策学学会, 信息自动显示系统, 自动综合调试系统",B2,,,,
surgery,surgery,/'sә:dʒәri/,n.,"n. 外科, 手术, 手术室, 换球术",B2,,,,
correct,correct,/kә'rekt/,vt.,"a. 正确的, 合适的；vt. 改正, 订正",A1,,,,
jew,jew,/dʒu:/,vt./n.,"n. 犹太人, 守财奴, 犹太教信徒；vt. 欺骗, 杀价",Beyond C1,,,,
jewish,jewish,/'dʒu:iʃ/,,"a. 犹太人的, 犹太族的",Beyond C1,,,,
due,due,/dju:/,n.,"n. 应得的东西, 应付款；a. 到期的, 应得的, 应付的, 约定的",B1,,,,
blame,blame,/bleim/,vt./n.,"n. 过失, 责备；vt. 责备, 归咎于",B2,,,,
estimate,estimate,/'estimeit/,vt./vi./n.,"n. 估计, 判断；vt. 估计, 评价, 判断；vi. 估计",B2,,,,
basketball,basketball,/'bɑ:skitbɒ:l/,n.,n. 篮球,A1,,,,
hill,hill,/hil/,vt./n.,"n. 小山, 丘陵, 小土堆；vt. 作成土堆, 堆成小丘",A2,,,,
golf,golf,/gɒlf/,vi./n.,n. 高尔夫球；vi. 打高尔夫球,A2,,,,
investigate,investigate,/in'vestigeit/,v.,"v. 调查, 审查",B1,,,,
crazy,crazy,/'kreizi/,,"a. 发狂的, 狂热的",A2,,,,
significantly,significantly,,adv.,adv. 值得注目地；意味深长地,B2,,,,
chain,chain,/tʃein/,vt./n.,"n. 链, 枷锁, 束缚；vt. 用铁练锁住, 束缚, 囚禁",B1,,,,
branch,branch,/bræntʃ/,vt./vi./n.,"n. 树枝, 支店, 支流, 分部；vi. 分支, 出枝；vt. 分割, 用枝状叶脉刺绣花纹装饰",B1,,,,
combination,combination,/.kɒmbi'neiʃәn/,n.,"n. 组合, 合并, 联合",B2,,,,
frequently,frequently,/'fri:kwәntli/,adv.,"adv. 频繁, 经常地",B1,,,,
governor,governor,/'gʌvәnә/,n.,"n. (美)州长, (英)总督, 统治者, 管理者, 理事",B2,,,,
relief,relief,/ri'li:f/,n.,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏",B2,,,,
user,user,/'ju:zә/,n.,n. 使用者,A2,,,,
dad,dad,/dæd/,n.,"n. 爸爸, 爹爹",A1,,,,
kick,kick,/kik/,vt./vi./n.,"n. 踢, 反冲, 后座力, 凹底；vi. 踢, 反抗, 反冲；vt. 踢, 反冲",B1,,,,
ancient,ancient,/'einʃәnt/,,"a. 古代的, 古老的, 年老的, 旧的",A2,,,,
manner,manner,/'mænә/,n.,"n. 样子, 礼貌, 风格",A2,,,,
rating,rate,/'reitiŋ/,n.,"n. 等级, 额定功率, 责骂",B2,,,,
silence,silence,/'sailәns/,vt./n.,"n. 沉默, 无声, 静寂, 湮没, 无声息；vt. 使缄默；interj. 安静",B2,,,,
golden,golden,/'gәuldn/,,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的",B2,,,,
motion,motion,/'mәuʃәn/,v./n.,"n. 移动, 手势, 动作, 意向, 请求, 提议；v. 打手势",B2,,,,
german,german,/'dʒә:mәn/,n.,"n. 德国人, 德语；a. 德国的, 德国人的, 德国语的, 同父母的",Beyond C1,,,,
gender,gender,/'dʒendә/,vt./n.,n. 性；vt. 产生,B2,,,,
solve,solve,/sɒlv/,vt./vi.,"vt. 解决, 付给, 溶解；vt. 求解；vi. 求解",A2,,,,
fee,fee,/fi:/,vt./n.,"n. 费用, 小费, 封地, 所有权；vt. 付费给",B2,,,,
landscape,landscape,/'lændskeip/,vt./vi./n.,"n. 风景, 山水, 风景画；vi. 从事景观美化；vt. 美化...景观",B2,,,,
used,use,/'ju:st/,,"a. 使用过的, 二手的, 习惯的",B1,,,,
bowl,bowl,/bәul/,v./n.,"n. 碗, 木球, 大酒杯；v. 滚木球, 快而稳地行驶",A2,,,,
equal,equal,/'i:kwәl/,vt./n.,"n. 对手, 匹敌, 同辈；a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的；vt. 等于, 比得上",B1,,,,
frame,frame,/freim/,vt./n.,"n. 框, 结构, 体格；vt. 构成, 设计, 制定, 使适合, 陷害",B1,,,,
forth,forth,/fɒ:θ/,adv.,"adv. 往前, 以后, 向外",C1,,,,
typical,typical,/'tipikl/,,"a. 典型的, 象征性的",A2,,,,
except,except,/ik'sept/,vt./vi./prep./conj.,"vt. 除, 除外；vi. 反对；prep. 除了...之外, 若不是, 除非；conj. 只是",A2,,,,
conservative,conservative,/kәn'sә:vәtiv/,,"a. 保守的, 守旧的, 有保存力的",B2,,,,
eliminate,eliminate,/i'limineit/,vt.,"vt. 除去, 排除, 剔除, 消除",B2,,,,
hall,hall,/hɒ:l/,n.,"n. 门厅, 走廊, 会堂",A2,,,,
host,host,/hәust/,vt./n.,"n. 主人, 旅馆老板, 节目主持人；vt. 当主人招待, 作...节目主持人",B1,,,,
trust,trust,/trʌst/,vt./vi./n.,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯；a. 信托的, 托拉斯的；vt. 信赖, 信任, 相信, 盼望, 赊卖给；vi. 相信, 信赖, 依靠",B2,,,,
ocean,ocean,/'әuʃәn/,n.,"n. 海洋, 广阔, 许多, 一大片",A1,,,,
row,row,/rәu. rau/,vt./vi./n.,"n. 排, 行, 街道, 划船, 吵闹；vt. 使成排, 划, 划船, 参加(赛船), 痛骂；vi. 划船, 划动, 争吵",B1,,,,
producer,producer,/prә'dju:sә/,n.,"n. 生产者, 制作者, 制作人",B1,,,,
afford,afford,/ә'fɒ:d/,vt.,"vt. 买得起, 足以, 给予",B1,,,,
meanwhile,meanwhile,/'mi:nhwail/,n./adv.,"n. 其时, 其间；adv. 同时, 于此时",B1,,,,
regime,regime,/rei'ʒi:m/,n.,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态",C1,,,,
division,division,/di'viʒәn/,n.,"n. 分, 分开, 除法, 部门(如部、处、系等), 师",B2,,,,
fix,fix,/fiks/,vt./vi./n.,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理；vi. 固定, 注视, 确定；n. 困境, 方位, 维修, 贿赂",A2,,,,
confirm,confirm,/kәn'fә:m/,vt.,"vt. 证实, 确定, 批准, 使巩固",B1,,,,
appeal,appeal,/ә'pi:l/,vt./vi./n.,"n. 恳求, 诉请, 上诉, 吸引力；vi. 呼吁, 诉请, 要求, 上诉, 有吸引力；vt. 将...上诉",B2,,,,
mirror,mirror,/'mirә/,vt./n.,"n. 镜子, 写真, 典范；vt. 反映, 映出",A2,,,,
tooth,tooth,/tu:θ/,vt./vi./n.,"n. 牙齿, 齿状物, 爱好；vt. 装以齿, 将...切成齿状；vi. 啮合",A1,,,,
length,length,/leŋθ/,n.,"n. 长度, 长, 期间, 一段",B1,,,,
smart,smart,/smɑ:t/,vi./n.,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的；n. 刺痛, 痛苦；vi. 刺痛",A1,,,,
rely,rely,/ri'lai/,vi.,"vi. 信赖, 依赖, 信任",B2,,,,
entirely,entirely,/in'taiәli/,adv.,"adv. 完全, 全然, 一概",B2,,,,
association,association,/ә.sәuʃә'eiʃәn/,n.,n. 协会,B2,,,,
complain,complain,/kәm'plein/,v.,"v. 抱怨, 抗议, 控诉",A2,,,,
topic,topic,/'tɒpik/,n.,"n. 主题, 论题, 话题",A1,,,,
variable,variable,/'vєәriәbl/,n.,"n. 易变的事物, 变数, 可变物, 变量；a. 可变的, 不定的, 易变的, 变量的",C1,,,,
telephone,telephone,/'telifәun/,v./n.,"n. 电话, 电话机；v. 打电话",A1,,,,
perception,perception,/pә'sepʃәn/,n.,"n. 知觉, 感觉, 领悟力, 获取",B2,,,,
attract,attract,/ә'trækt/,vt./vi.,"vt. 吸引, 诱惑；vi. 有吸引力",B1,,,,
secret,secret,/'si:krit/,n.,"n. 秘密, 机密, 秘诀, 秘方；a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的",A2,,,,
bedroom,bedroom,/'bedrum/,n.,n. 卧室,A1,,,,
confidence,confidence,/'kɒnfidәns/,n.,n. 信心,B2,,,,
debt,debt,/det/,n.,"n. 债务, 罪过",B2,,,,
rare,rare,/rєә/,adv.,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的；adv. 非常",B1,,,,
tank,tank,/tæŋk/,vt./n.,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克；vt. 储于箱中",B2,,,,
nurse,nurse,/nә:s/,vt./vi./n.,"n. 护士, 保姆, 奶妈；vt. 看护, 照顾, 培养；vi. 喂奶, 看护病人",A1,,,,
opposition,opposition,/.ɒpә'ziʃәn/,n.,"n. 反对, 敌对, 相反, 在野党",B2,,,,
coverage,coverage,/'kʌvәridʒ/,n.,"n. 覆盖的范围, 保险总额, 新闻报导",B2,,,,
aside,aside,/ә'said/,n./adv.,"n. 小声说的话, 旁白；adv. 在一边, 离开, 另外",B2,,,,
anywhere,anywhere,/'enihwєә/,adv.,adv. 无论何处,A2,,,,
bond,bond,/bɒnd/,vt./vi./n.,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留；vt. 存入关栈, 使黏合；vi. 结合",B2,,,,
pleasure,pleasure,/'pleʒә/,v./n.,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望；v. (使)高兴",B1,,,,
master,master,/'mɑ:stә. 'mæstә/,vt./n.,"n. 主人, 硕士, 大师, 母机；a. 主人的, 主要的；vt. 征服, 控制, 精通",B2,,,,
era,era,/'iәrә/,n.,"n. 时代, 纪元, 时期",B2,,,,
requirement,requirement,/ri'kwaiәmәnt/,n.,"n. 需求, 必要条件, 要求",B2,,,,
fun,fun,/fʌn/,vi./n.,"n. 乐趣, 玩笑, 娱乐；vi. 开玩笑；a. 供娱乐用的",A1,,,,
wing,wing,/wiŋ/,vt./vi./n.,"n. 翅膀, 翼, 机翼, 派别；vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度；vi. 飞行",B1,,,,
expectation,expectation,/.ekspek'teiʃәn/,n.,"n. 期待, 指望, 展望",B2,,,,
separate,separate,/'sepәreit/,vt./vi./n.,"n. 独立件, 抽印本；a. 分开的, 各别的, 单独的, 分隔的；vi. 分开, 隔开, 分居；vt. 使分离, 使分开, 区分, 使分居",A2,,,,
somewhat,somewhat,/'sʌmhwɒt/,n./adv.,"n. 某物, 几分；adv. 多少, 几分",B2,,,,
pour,pour,/pɒ:/,vt./vi./n.,"n. 流出, 倾泻, 骤雨；vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐；vi. 倾泻, 蜂涌而来, 下大雨",B1,,,,
stir,stir,/stә:/,vt./vi./n.,"n. 骚动, 轰动, 搅动, 监狱；vt. 移动, 摇动, 激起, 惹起, 搅拌；vi. 走动, 传播, 搅拌",C1,,,,
judgment,judgment,/'dʒʌdʒmәnt/,n.,"n. 裁判, 宣告, 判决书",B2,,,,
beer,beer,/biә/,n.,n. 啤酒,A1,,,,
reference,reference,/'refәrәns/,vt./vi./n.,"n. 参考, 索引, 参照；vt. 给...加上参考资料；vt. 引用；vi. 引用",B1,,,,
tear,tear,/tiә. tєә/,vt./vi./n.,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔；vi. 流泪, 撕破, 赶快, 飞奔, 被撕破；vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨",B2,,,,
doubt,doubt,/daut/,v./n.,"n. 怀疑, 疑惑；v. 怀疑, 不信",B1,,,,
grant,grant,/grænt/,vt./n.,"n. 授予, 授予物, 允许；vt. 允许, 承认, 授与",B2,,,,
seriously,seriously,/'siәriәsli/,adv.,"adv. 严肃地, 认真地, 严重地",B1,,,,
minister,minister,/'ministә/,vi./n.,"n. 部长, 牧师, 公使；vi. 服侍, 救助, 主持宗教仪式",B2,,,,
totally,totally,/'tәutli/,adv.,adv. 完全地,B1,,,,
hero,hero,/'hiәrәu/,n.,"n. 英雄, 超越常人者, 男主角",A2,,,,
industrial,industrial,/in'dʌstriәl/,n.,"a. 工业的, 供工业用的, 工业高度发展的, 产业的；n. 工业工人, 工业股票",B2,,,,
cloud,cloud,/klaud/,vt./vi./n.,"n. 云, 阴暗, 烟雾, 疑团；vt. 以云遮敝, 笼罩, 使黯然；vi. 乌云密布, 阴沉",A2,,,,
stretch,stretch,/stretʃ/,vt./vi./n.,"n. 伸展, 张开, 连绵, 一段路, 一段时间；a. 可伸缩的, 弹性的；vt. 伸展, 张开, 曲解, 使过度伸展；vi. 伸展, 延伸",B2,,,,
winner,winner,/'winә/,n.,"n. 胜利者, 优胜者",A2,,,,
volume,volume,/'vɒljum/,vt./vi./n.,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量；vi. 成团卷起；vt. 把...收集成卷；a. 大量的",B2,,,,
seed,seed,/si:d/,vt./vi./n.,"n. 种子, 籽, 萌芽, 子孙, 精液；vt. 在...播种, 催...发育, 脱...籽；vi. 结实, 播种",B1,,,,
surprised,surprise,/sә'praizd/,,a. 感到惊讶的,A2,,,,
fashion,fashion,/'fæʃәn/,vt./n.,"n. 流行, 风尚, 时样；vt. 形成, 造, 作",A2,,,,
